,age,income,children,income_zscore,age_MinMax,income_MinMax,kids_MinMax,gender_FEMALE,gender_MALE,region_INNER_CITY,region_RURAL,region_SUBURBAN,region_TOWN,married_NO,married_YES,car_NO,car_YES,savings_acct_NO,savings_acct_YES,current_acct_NO,current_acct_YES,mortgage_NO,mortgage_YES,pep_NO,pep_YES,age_bins_young,age_bins_mid-age,age_bins_old,id
0,48,17546.0,1,-0.7741680866808346,0.6122448979591837,0.21563448481990038,0.3333333333333333,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,ID12101
1,40,30085.1,3,0.19870630556250168,0.4489795918367347,0.4313947527948036,1.0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,ID12102
2,51,16575.4,0,-0.8494742797179251,0.673469387755102,0.19893337261117403,0.0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,ID12103
3,23,20375.4,3,-0.5546426976646136,0.10204081632653061,0.26431996481513065,1.0,1,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,ID12104
4,57,50576.3,0,1.7885623356074538,0.7959183673469388,0.7839867891552552,0.0,1,0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,0,1,ID12105
5,57,37869.6,2,0.8026843188503974,0.7959183673469388,0.5653426283241985,0.6666666666666666,1,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,0,1,ID12106
6,22,8877.07,0,-1.4467665989464698,0.08163265306122448,0.06646822409499363,0.0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,ID12107
7,58,24946.6,0,-0.19997582190616706,0.8163265306122449,0.3429765938369007,0.0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,0,1,ID12108
8,37,25304.3,2,-0.17222285956393818,0.3877551020408163,0.34913153700304683,0.6666666666666666,1,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,ID12109
9,54,24212.1,2,-0.25696366322673475,0.7346938775510204,0.33033805384379383,0.6666666666666666,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,ID12110
10,66,59803.9,0,2.504506521543016,0.9795918367346939,0.9427660834239999,0.0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0,0,0,1,ID12111
11,52,26658.8,0,-0.06713091801361964,0.6938775510204082,0.3724384157241677,0.0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,ID12112
12,44,15735.8,1,-0.9146165419000201,0.5306122448979592,0.18448637713368926,0.3333333333333333,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,ID12113
13,66,55204.7,1,2.1476672025483867,0.9795918367346939,0.8636276584596743,0.3333333333333333,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,ID12114
14,36,19474.6,0,-0.6245333000629356,0.3673469387755102,0.24881990106320317,0.0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,ID12115
15,38,22342.1,0,-0.40205183650033804,0.40816326530612246,0.29816096768026784,0.0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,ID12116
16,37,17729.8,2,-0.7599075485804666,0.3877551020408163,0.21879713104281806,0.6666666666666666,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,ID12117
17,46,41016.0,0,1.0468048687905394,0.5714285714285714,0.6194827266690746,0.0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,ID12118
18,62,26909.2,0,-0.047703068501475,0.8979591836734694,0.3767470480104495,0.0,1,0,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,1,ID12119
19,31,22522.8,0,-0.3880318189011187,0.2653061224489796,0.30127027220954544,0.0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,ID12120
20,61,57880.7,2,2.355290706120666,0.8775510204081632,0.9096735849696185,0.6666666666666666,0,1,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,1,ID12121
21,50,16497.3,2,-0.8555338446017051,0.6530612244897959,0.1975895060714032,0.6666666666666666,0,1,0,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0,0,1,0,ID12122
22,54,38446.6,0,0.8474521669674396,0.7346938775510204,0.5752710661404308,0.0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,0,ID12123
23,27,15538.8,0,-0.9299012318117312,0.1836734693877551,0.18109659853785257,0.0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,ID12124
24,22,12640.3,2,-1.1547879003858164,0.08163265306122448,0.1312221149843872,0.6666666666666666,0,1,1,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,ID12125
25,56,41034.0,0,1.0482014394423709,0.7755102040816326,0.6197924526321459,0.0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,1,ID12126
26,45,20809.7,0,-0.5209465513262576,0.5510204081632653,0.27179296402412495,0.0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,ID12127
27,39,20114.0,1,-0.5749240070195442,0.42857142857142855,0.25982205555141635,0.3333333333333333,1,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,ID12128
28,39,29359.1,3,0.14237795593863217,0.42857142857142855,0.4189024722842582,1.0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,ID12129
29,61,24270.1,1,-0.25246360223750003,0.8775510204081632,0.33133605972480157,0.3333333333333333,0,1,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,1,ID12130
30,61,22942.9,2,-0.3554374116325406,0.8775510204081632,0.30849893204767237,0.6666666666666666,1,0,0,1,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0,0,1,ID12131
31,20,16325.8,2,-0.8688400594233217,0.04081632653061224,0.19463850592325094,0.6666666666666666,1,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0,0,ID12132
32,45,23443.2,1,-0.3166205062374691,0.5510204081632653,0.3171075931212617,0.3333333333333333,0,1,0,0,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,ID12133
